Ref,MPN,Value,Description
C1,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD_CORE bypass (0.9 V core)
C2,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD_CORE bypass (0.9 V core)
C3,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD_CORE bypass (0.9 V core)
C4,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD_CORE bypass (0.9 V core)
C5,GRM188R60J106KE47D,10µF/6.3V/X5R,U1 VDD_CORE bulk
C6,GRM188R60J106KE47D,10µF/6.3V/X5R,U1 VDD_CORE bulk
C7,GRM155R71C104KA88D,100nF/16V/X7R,U1 V1P8 (1.8 V I/O) bypass
C8,GRM155R71C104KA88D,100nF/16V/X7R,U1 V1P8 (1.8 V I/O) bypass
C9,GRM155R71C104KA88D,100nF/16V/X7R,U1 V1P8 (1.8 V I/O) bypass
C10,GRM155R71C104KA88D,100nF/16V/X7R,U1 V1P8 (1.8 V I/O) bypass
C11,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD (I/O bank) bypass
C12,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD (I/O bank) bypass
C13,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD (I/O bank) bypass
C14,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD (I/O bank) bypass
C15,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD18 bypass
C16,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD18 bypass
C17,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD18 bypass
C18,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD18 bypass
C19,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD25 bypass
C20,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDD25 bypass
C21,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDA analog bypass
C22,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDA analog bypass
C23,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX1 bypass
C24,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX1 bypass
C25,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX2 bypass
C26,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX2 bypass
